cmp;date;party_id
22330;200205;345
22330;200301;345
22330;200611;345
22330;201006;345
22330;201209;345
22330;201703;345
22420;198105;1409
22420;198209;1409
22420;198605;1409
22420;198909;1409
22420;199405;1409
22420;199805;1409
22420;200205;1409
22420;200301;1409
22420;200611;1409
22420;201006;1409
22420;201209;1409
22420;201703;1409
22430;200205;744
22430;200301;744
22521;198105;235
22521;198209;235
22521;198605;235
22521;198909;235
22521;199405;235
22521;199805;235
22521;200205;235
22521;200301;235
22521;200611;235
22521;201006;235
22521;201209;235
22521;201703;235
22526;200205;1206
22526;200301;1206
22526;200611;1206
22526;201006;1206
22526;201209;1206
22526;201703;1206
22527;198209;625
22527;198909;625
22527;199405;625
22527;199805;625
22528;198105;212
22528;198209;212
22528;198909;212
22528;199405;212
22528;199805;212
22710;198209;275
22711;198909;209
22711;199405;209
22720;200205;456
22720;200301;456
22722;200611;1501
22722;201006;1501
22722;201209;1501
22722;201703;1501
22730;201703;2642
22951;200611;990
22951;201006;990
22951;201209;990
22951;201703;990
22952;198209;1251
22952;198605;1251
22952;198909;1251
22952;199405;1251
22952;199805;1251
22952;200205;1251
22952;200611;1251
22952;201006;1251
22952;201209;1251
22952;201703;1251
22953;201209;2109
22953;201703;2109
22954;199405;112
22955;199405;2288
23111;198906;1158
23112;198406;310
23112;198906;310
23113;199406;310
23113;199906;310
23113;200406;310
23113;200906;310
23113;201310;310
23220;198406;151
23220;198906;151
23230;200906;457
23230;201310;457
23320;198406;701
23320;198906;701
23320;199406;701
23320;199906;701
23320;200406;701
23320;200906;701
23320;201310;701
23420;198406;967
23420;198906;967
23420;199406;967
23420;199906;967
23420;200406;967
23420;200906;967
23420;201310;967
23520;198406;1234
23520;198906;1234
23520;199406;1234
23520;199906;1234
23520;200406;1234
23520;200906;1234
23520;201310;1234
23951;198906;1582
23951;199406;1582
23951;199906;1582
23951;200406;1582
23951;200906;1582
23951;201310;1582
31021;201206;686
31110;199303;873
31110;199705;873
31110;200206;873
31110;200706;873
31110;201206;873
31110;201706;873
31111;199705;650
31220;198106;686
31220;198603;686
31220;198806;686
31220;199303;686
31220;199705;686
31220;200206;686
31220;200706;686
31220;201706;686
31230;201206;1492
31230;201706;1492
31240;201706;2644
31320;198106;1539
31320;198603;1539
31320;198806;1539
31320;199303;1539
31320;199705;1539
31320;200206;1539
31320;200706;1539
31320;201206;1539
31320;201706;1539
31421;201206;401
31425;201706;2643
31430;201706;2273
31621;198106;138
31621;198603;138
31621;198806;138
31624;198106;509
31624;198603;509
31624;198806;509
31624;199303;509
31624;199705;509
31624;200206;509
31624;200706;509
31624;201206;509
31624;201706;509
31625;199303;138
31625;199705;138
31626;200206;658
31626;200706;658
31626;201206;658
31626;201706;658
31630;201206;1058
31631;201206;2078
31720;198603;270
31720;198806;270
31720;199303;270
31720;199705;270
31720;200206;270
31720;200706;270
31720;201206;270
31720;201706;270
32031;201803;465
32055;201803;226
32061;200804;596
32061;201302;596
32090;201803;1030
32110;198706;1304
32110;199204;1304
32110;199403;1304
32110;199604;1304
32110;200604;1304
32111;200105;910
32211;198306;1424
32211;198706;1424
32212;199204;1321
32212;199403;1321
32212;199604;1321
32212;200105;1321
32212;200604;1321
32213;200105;1661
32213;200604;1661
32220;198306;809
32220;198706;809
32220;199204;809
32220;199403;809
32220;199604;809
32220;200105;809
32221;200604;1296
32230;201302;465
32310;198306;1296
32310;198706;1296
32310;199204;1296
32310;199403;1296
32310;199604;1296
32320;198306;1475
32320;198706;1475
32320;199204;1475
32320;199403;1475
32321;199604;630
32329;200105;1048
32329;200604;1048
32330;198306;242
32330;198706;242
32330;199204;242
32410;198306;93
32410;198706;93
32410;199204;93
32420;198306;487
32420;198706;487
32420;199204;487
32421;200105;1005
32440;200804;382
32440;201302;382
32440;201803;382
32450;201302;2153
32451;201803;2737
32460;201302;2156
32520;198306;1633
32520;198706;1633
32520;199204;1633
32520;199403;1633
32520;199604;1633
32521;199604;99
32522;200105;627
32528;199403;142
32529;199403;896
32529;199604;896
32530;200604;226
32530;200804;226
32530;201302;226
32610;199403;596
32610;199604;596
32610;200105;596
32610;200604;596
32610;201803;596
32611;200105;1287
32611;200604;1287
32630;201302;2154
32630;201803;2154
32710;198306;373
32710;198706;373
32710;199204;373
32710;199403;373
32710;199604;373
32710;200105;373
32710;200604;373
32720;199204;1436
32720;199403;1436
32720;199604;1436
32720;200105;1436
32720;200604;1436
32720;200804;1436
32720;201302;1436
32720;201803;1436
32901;200105;488
32902;200105;693
32902;200604;693
32902;200804;693
32903;200604;1063
32904;200604;1030
32904;201302;1030
32906;201302;974
32951;199204;366
32951;199403;366
32953;200604;399
32955;200604;1048
32956;201302;2155
32956;201803;2155
33020;201512;988
33025;201606;2724
33091;201111;385
33092;201111;845
33095;201512;2603
33095;201606;2603
33096;201512;2606
33096;201606;2606
33097;201512;2604
33097;201606;2604
33098;201512;2607
33098;201606;2607
33099;201512;2605
33210;201512;2376
33210;201606;2376
33220;198210;118
33220;198606;118
33220;198910;118
33220;199306;118
33220;199603;118
33220;200003;118
33220;200403;118
33220;200803;118
33220;201111;118
33320;198210;902
33320;198606;902
33320;198910;902
33320;199306;902
33320;199603;902
33320;200003;902
33320;200403;902
33320;200803;902
33320;201111;902
33320;201512;902
33320;201606;902
33420;201512;2375
33420;201606;2375
33430;198210;135
33440;201111;551
33512;198210;637
33512;198606;637
33512;198910;637
33512;199306;637
33610;198210;645
33610;198606;645
33610;198910;645
33610;199306;645
33610;199603;645
33610;200003;645
33610;200403;645
33610;200803;645
33610;201111;645
33610;201512;645
